campaign_id,total_playouts,total_frames,days_active,start_date,end_date,primary_brand,primary_media_owner,has_impacts_thousands
17498,45961133,701,37,2025-09-07 22:45:00,2025-10-13 13:00:00,Brand not provided at point of trade,Global,125632.8100774858
17827,38042513,1451,37,2025-09-07 22:45:00,2025-10-13 13:00:00,Brand not provided at point of trade,Global,77349.0871465079
17902,26735062,889,45,2025-08-29 00:15:00,2025-10-13 13:00:00,LNER,JCDecaux,61170.4246401799
18475,23899103,650,21,2025-08-18 05:00:00,2025-09-07 22:45:00,Brand not provided at point of trade,Global,53570.4289717131
18679,22626407,267,50,2025-08-25 04:00:00,2025-10-13 13:00:00,Brand not provided at point of trade,JCDecaux,32207.0726551589
18604,21998490,3145,12,2025-09-23 22:45:00,2025-10-12 22:45:00,Brand not provided at point of trade,Global,72392.0278545535
17544,19845816,1120,59,2025-08-13 14:45:00,2025-10-13 13:00:00,Scratchcards,Bauer Media Outdoor,22292.7009719085
18531,17856719,3627,46,2025-08-15 23:00:00,2025-10-05 23:45:00,Brand not provided at point of trade,Global,64789.2124073970
17595,16616573,770,30,2025-08-24 23:00:00,2025-10-09 22:45:00,Brand not provided at point of trade,Ocean Outdoor,21730.4040798744
17633,16130567,599,29,2025-08-31 23:00:00,2025-09-28 22:45:00,Admiral Group,Global,21329.2585783181
18409,16091104,1126,14,2025-08-25 07:00:00,2025-09-07 22:45:00,Waitrose,Bauer Media Outdoor,187595.1641083600
18764,16038553,1297,18,2025-09-13 04:00:00,2025-09-30 23:45:00,People's Postcode Lottery,Bauer Media Outdoor,77174.7027574043
18396,14408426,388,34,2025-08-28 14:15:00,2025-09-30 22:45:00,Brand not provided at point of trade,JCDecaux,38484.7541945615
18693,13370281,700,22,2025-09-07 22:45:00,2025-10-13 10:15:00,comparethemarket.com,Global,32907.5234407485
18338,13305102,401,44,2025-08-31 22:45:00,2025-10-13 13:00:00,Argos,Global,17147.3951423516
17950,13165901,588,22,2025-08-20 23:00:00,2025-09-10 22:45:00,H&M,Ocean Outdoor,124096.8886807783
18682,12525706,1037,30,2025-09-14 23:00:00,2025-10-13 10:15:00,British Gas,Global,49433.1757883929
18422,12220702,363,40,2025-08-31 23:00:00,2025-10-12 22:45:00,Brand not provided at point of trade,Global,99655.4630449692
18126,11919389,733,15,2025-09-21 22:45:00,2025-10-05 22:45:00,Brand not provided at point of trade,Global,49575.3598497264
16860,11329421,642,15,2025-09-21 22:45:00,2025-10-05 22:45:00,Specsavers,Global,11992.2948326883
16701,10729971,1062,40,2025-08-24 23:00:00,2025-10-10 21:00:00,Channel Four,Global,23214.9641323043
